sentence1	sentence2	label
8 Follow-up to the May 8, 2001, Hearing Regarding the IRS Restructuring Act's Goals and IRS Funding ( GAO-01-903R, June 29, 2001), and IRS  Continued Improvement in Management Capability Needed to Support Long-Term Transformation	There was a 2001 hearing involving an IRS Act and IRS Funding.	0
He was standing in front of a grey backdrop- somewhere that could be anywhere.	You couldn't tell where he was because he was in front of a backdrop.	0
so do you have do you have the long i guess not not if there's see i was raised in New York but i guess up there you all don't have too long of a growing season do you	I suppose you have a shorter growing season where you are.	0
Annette told me how you'd escaped.	The dog told me that you escaped. 	2
Four or five from the town rode past, routed by their diminished numbers and the fury of the Kal and Thorn.	Kal and Thorn were very angry.	0
Saint-Paul-de-Vence	St Louis.	2
The village is Sainte-Marie, named by the explorer when he landed on 4 November 1493, attracted by the waterfalls and river he could see flowing down the green inland mountains.	The village is named after the explorer that landed on November 4, 1493.	0
well what station plays uh that type of music	Which radio station plays a lot of contemporary Christian music?	1
Both initial and supplemental proposed rule publications invited comments on the information collection requirements imposed by the rule.	Proposals are available to the public and allow for citizen input.	1
For centuries, the Loire river was a vital highway between the Atlantic and the heart of France.	The Loire connected central France to the Atlantic.	0
At Kansas City Power and Light's Hawthorn Power Station, Unit 5 was replaced (excluding turbine) in under 22 months.	It took three years to replace Unit 5.	2
Pray be seated, mademoiselle.	Please be seated, ma'am.	0
It is worth a visit, if only to see the theater itself.	It's advisable to skip seeing the place entirely.	2
 Folklore of Ibiza	Ibiza's traditions and lore	0
For a half millennium or more, Madrid idled as a provincial backwater, rarely noticed on the arid central plains of Castile, until Felipe II plucked it from his royal cap in 1561 and proclaimed it the capital of Spain.	After Madrid became the capital of Spain, there were massive economic advantages for the region.	1
The new rights are nice enough	The latest privileges are adequate  	0
He was of two minds, one reveled in the peace of this village.	He loved how peaceful the village was.	0
I noticed that there was a long branch running out from the tree in the right direction.	I did not notice the long branch pointing in the right direction.  	2
However, the associated cost is primarily some of the costs of assessing and collecting duties on imported merchandise, such as the salaries of import specialists (who classify merchandise) and the costs of processing paperwork.	the associated cost is how much people spend relative to this amount	1
to see this kind of thing and you know if you can do any any little bit it helps so	To see this kind of thing is bad, don't contribute to it at all if you can.	2
However, the extent to which these comments were electronically available and the role that this access played in the rulemaking process varied substantially.	The comments and the extent of their availability played no role in the rule making process. 	2
Today, nothing remains except the foundations.	Except for the foundations, nothing else still exists.	0
Beside the fortress lies an 18th-century caravanserai, or inn, which has been converted into a hotel, and now hosts regular folklore evenings of Turkish dance and music.	The caravanserai was built in the 16th century.	2
Many who fled have returned.	They all ran and never looked back.	2
Territorial rights, in the form of a deck chair, can be assured for a nominal sum.	You have a lot of territory.	1
8 A stoichiometry of 1.03 is typical when the FGD process is producing gypsum by-product, while a stoichiometry of 1.05 is needed to produce waste suitable for a landfill.	A stoichiometry of 1.07 is typical when the FGD process is producing gypsum by-product	2
Part 2), Confidentiality of Alcohol and Drug Abuse Patient Records.	Drug and alcohol patient records should be confidential	0
finding the latest thing out from my friends is usually the most uh time effective	It works best to find things out from my friends.	0
The final reason for the teen renaissance is boomer self-obsession.	Boomer self-obsession is one of the reasons for teen renaissance.	0
Britain's best-selling tabloid, the Sun , announced as a front-page world exclusive Friday that Texan model Jerry Hall has started divorce proceedings against aging rock star Mick Jagger at the High Court in London.	The Sun makes millions every year off fake news.	1
These rules were not used extensively.	These rules were used often and in high frequency.	2
Annette told me how you'd escaped.	Annette told me you escaped.	0
My unborn children will never appear on the Today show.	I would not wish for anyone I know to be on the Today show.	1
will never be doused (Brit Hume, Fox News Sunday ; Tony Blankley, Late Edition ; Robert Novak, Capital Gang ; Tucker Carlson, The McLaughlin Group ). The middle way is best expressed by Howard Kurtz (NBC's Meet the Press )--he scolds Brill for undisclosed campaign contributions and for overstretching his legal case against Kenneth Starr but applauds him for casting light on the media.	They did not think anything was wrong with the contributions not being disclosed.	2
She was quite young, not more than eighteen.	She was in her mid-to late forties. 	2
The mansions have been downgraded to consulates since the capital was transferred to Ankara in 1923, and modern shops and restaurants have sprung up.	The city of Ankara has always been the capital of the nation.	2
An ancient Greek trading post, the town manages to combine the atmosphere of a resort with a gutsy, bustling city life.	Historically, the town was once a trading post used by the ancient Greeks.	0
